# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -1666 8 11 2065 467831 3 ./node_modules/next/dist/compiled/@next/font/dist/google/sort-fonts-variant-values.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 464146 3 ./node_modules/.next-TqhSVffh/dist/server/app-render/csrf-protection.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464142 3 ./node_modules/.next-TqhSVffh/dist/client/components/router-reducer/create-router-cache-key.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 464169 3 ./node_modules/.next-TqhSVffh/dist/telemetry/detached-flush.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464140 3 ./node_modules/.next-TqhSVffh/dist/client/components/router-reducer/create-initial-router-state.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464137 3 ./node_modules/.next-TqhSVffh/dist/client/components/router-reducer/create-href-from-url.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 451844 3 ./node_modules/tsconfig-paths/lib/__tests__/try-path.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 442684 3 ./node_modules/.next-TqhSVffh/dist/server/future/normalizers/request/postponed.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 467339 3 ./node_modules/next/dist/client/components/router-reducer/invalidate-cache-below-flight-segmentpath.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 467819 3 ./node_modules/next/dist/server/lib/incremental-cache/shared-revalidate-timings.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 463999 3 ./node_modules/.next-TqhSVffh/dist/server/future/route-matcher-providers/app-page-route-matcher-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 464058 3 ./node_modules/.next-TqhSVffh/dist/lib/batcher.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 41585 3 ./node_modules/tsconfig-paths/lib/__tests__/match-path-async.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 467325 3 ./node_modules/next/dist/trace/report/index.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 8 11 2065 467086 3 ./node_modules/next/dist/compiled/@next/font/dist/google/find-font-files-in-css.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464038 3 ./node_modules/.next-TqhSVffh/dist/client/components/router-reducer/apply-router-state-patch-to-tree.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 467106 3 ./node_modules/next/dist/lib/format-server-error.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464270 3 ./node_modules/.next-TqhSVffh/dist/client/components/router-reducer/fill-lazy-items-till-leaf-with-head.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 8 11 2065 460960 3 ./node_modules/.next-TqhSVffh/dist/compiled/@next/font/dist/local/pick-font-file-for-fallback-generation.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 464033 3 ./node_modules/.next-TqhSVffh/dist/client/app-webpack.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464023 3 ./node_modules/.next-TqhSVffh/dist/server/future/route-matcher-providers/app-route-route-matcher-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 8 11 2065 467626 3 ./node_modules/next/dist/compiled/@next/font/dist/local/pick-font-file-for-fallback-generation.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 467324 3 ./node_modules/next/dist/build/webpack/plugins/next-types-plugin/index.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 463993 3 ./node_modules/.next-TqhSVffh/dist/client/app-next-turbopack.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464267 3 ./node_modules/.next-TqhSVffh/dist/client/components/router-reducer/fill-cache-with-new-subtree-data.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 464272 3 ./node_modules/.next-TqhSVffh/dist/lib/find-config.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 448744 3 ./node_modules/@tybys/wasm-util/lib/mjs/wasi/fs.mjs
